Date,BTC,DOGE,ETH,LTC,XRP,XLM
2016-08-24,582.58,0.000236,10.98,3.95,0.005932,0.001912
2016-08-25,578.92,0.000241,11,3.84,0.005912,0.001925
2016-08-26,576.16,0.000242,11.34,3.81,0.005892,0.001925
2016-08-27,578.89,0.000228,11.29,3.81,0.005902,0.001931
2016-08-28,570.42,0.00023,11.21,3.78,0.005869,0.00202
2016-08-29,574.83,0.000227,10.98,3.72,0.00587,0.002032
2016-08-30,573,0.000226,10.95,3.77,0.005842,0.001966
2016-08-31,574.79,0.000226,11.2,3.81,0.005897,0.00194
2016-09-01,571.59,0.000225,11.52,3.74,0.005886,0.001951
2016-09-02,571.96,0.000226,12.24,3.66,0.005961,0.001963
2016-09-03,575.38,0.000233,12.11,3.84,0.008303,0.002319
2016-09-04,600.58,0.00025,11.83,3.88,0.007446,0.002082
2016-09-05,611.82,0.000236,11.76,4.02,0.007018,0.002162
2016-09-06,606.19,0.00024,11.77,3.96,0.006853,0.00209
2016-09-07,612.37,0.000236,11.73,3.95,0.006858,0.002127
2016-09-08,614.59,0.000232,11.6,3.96,0.006785,0.002052
2016-09-09,628.77,0.000231,11.42,4.01,0.006829,0.002085
2016-09-10,622.6,0.000228,11.61,3.96,0.006843,0.002138
2016-09-11,625.1,0.000224,12.07,3.96,0.007211,0.002083
2016-09-12,607.25,0.000226,11.64,3.9,0.007362,0.002219
2016-09-13,607.48,0.000225,11.87,3.88,0.007855,0.002454
2016-09-14,608.24,0.000229,11.92,3.81,0.007963,0.002385
2016-09-15,608.95,0.000228,11.93,3.85,0.008229,0.002549
2016-09-16,607.01,0.000229,11.96,3.81,0.009048,0.003149
2016-09-17,607.75,0.000231,12.6,3.81,0.008914,0.003066
2016-09-18,607.83,0.000235,12.88,3.82,0.00883,0.002847
2016-09-19,610.99,0.000233,12.58,3.87,0.008205,0.002763
2016-09-20,608.94,0.00023,12.92,3.86,0.008165,0.002867
2016-09-21,608.98,0.000234,15.09,4,0.008089,0.00271
2016-09-22,596.95,0.000229,13.71,3.82,0.007853,0.00259
2016-09-23,595.25,0.000233,13.1,3.79,0.007435,0.002485
2016-09-24,602.68,0.000223,13.36,3.83,0.007382,0.002306
2016-09-25,603.69,0.000228,12.94,3.87,0.007377,0.002374
2016-09-26,601.35,0.000225,13.07,3.8,0.00731,0.002317
2016-09-27,606.82,0.000228,12.88,3.92,0.007543,0.002376
2016-09-28,605.3,0.000228,13.11,3.83,0.007978,0.002466
2016-09-29,604.98,0.00023,13.31,3.81,0.008234,0.002679
2016-09-30,605.07,0.000225,13.18,3.86,0.007949,0.002637
2016-10-01,607.65,0.000227,13.24,3.81,0.007982,0.002539
2016-10-02,616,0.000227,13.24,3.85,0.008767,0.002479
2016-10-03,612.41,0.000224,13.28,3.83,0.008146,0.002439
2016-10-04,612.95,0.000223,13.52,3.83,0.008078,0.002418
2016-10-05,609.25,0.000221,13.34,3.85,0.00803,0.002291
2016-10-06,613.35,0.000221,13.1,3.88,0.00835,0.002388
2016-10-07,611.83,0.000219,12.87,3.82,0.008627,0.002339
2016-10-08,617.32,0.000221,12.69,3.82,0.009092,0.00267
2016-10-09,619.59,0.000218,12.28,3.86,0.009029,0.002476
2016-10-10,617.58,0.000223,12.05,3.8,0.008972,0.002407
2016-10-11,618.31,0.000221,11.78,3.79,0.009454,0.002438
2016-10-12,643.83,0.000219,11.76,3.83,0.009065,0.002471
2016-10-13,636.92,0.000219,11.77,3.8,0.008891,0.002357
2016-10-14,635.86,0.000216,12.05,3.83,0.008835,0.002338
2016-10-15,638,0.000217,11.9,3.82,0.008481,0.002176
2016-10-16,637.51,0.000216,11.95,3.92,0.008143,0.002095
2016-10-17,642.53,0.000223,11.94,3.88,0.007732,0.001957
2016-10-18,638.96,0.000223,11.97,3.82,0.008014,0.002127
2016-10-19,634.97,0.00022,12.53,3.91,0.008196,0.002088
2016-10-20,629.68,0.000221,11.97,3.79,0.008102,0.001976
2016-10-21,627.83,0.00022,12.03,3.8,0.008222,0.002023
2016-10-22,629.76,0.000217,12.05,3.79,0.008021,0.001994
2016-10-23,655,0.000219,12.04,3.84,0.008157,0.001999
2016-10-24,650.54,0.000222,11.92,3.88,0.00823,0.002021
2016-10-25,649.75,0.000221,11.9,3.87,0.008193,0.001959
2016-10-26,649.07,0.000239,11.32,3.85,0.008108,0.002013
2016-10-27,674,0.000229,11.5,3.89,0.008206,0.001986
2016-10-28,685.57,0.000229,11.43,3.99,0.008079,0.001968
2016-10-29,689.65,0.000228,11.1,3.9,0.008136,0.001948
2016-10-30,717.9,0.000227,10.43,4.06,0.008065,0.001913
2016-10-31,697.65,0.00022,11.22,3.93,0.008044,0.001899
2016-11-01,699.68,0.000225,10.95,3.98,0.008257,0.001896
2016-11-02,731.16,0.000223,10.79,4.02,0.008098,0.00188
2016-11-03,735.5,0.000222,10.83,4.07,0.007881,0.001853
2016-11-04,688.93,0.000221,10.88,3.9,0.007842,0.001772
2016-11-05,705.7,0.000224,11.15,3.88,0.007727,0.00182
2016-11-06,706.9,0.000218,11.16,3.87,0.007778,0.001807
2016-11-07,716.83,0.00022,11.02,3.91,0.007799,0.001796
2016-11-08,706.82,0.000219,10.94,3.88,0.007651,0.00176
2016-11-09,712.57,0.000222,10.86,3.91,0.007566,0.001755
2016-11-10,721,0.000224,10.66,3.98,0.007434,0.001735
2016-11-11,712.28,0.000219,10.52,3.8,0.007061,0.001733
2016-11-12,714.77,0.000218,10.31,3.8,0.00695,0.001691
2016-11-13,704.67,0.00022,9.96,3.75,0.006902,0.001722
2016-11-14,703.98,0.000219,10.14,3.86,0.00739,0.001649
2016-11-15,705.52,0.000217,10.03,3.87,0.007074,0.001665
2016-11-16,712.41,0.000218,10.28,3.92,0.007008,0.001655
2016-11-17,737.55,0.000217,10.02,3.92,0.00678,0.001667
2016-11-18,736.57,0.000214,9.98,3.9,0.006723,0.001629
2016-11-19,747.8,0.000214,9.53,3.87,0.006702,0.001619
2016-11-20,750.38,0.000216,9.71,3.92,0.00666,0.001529
2016-11-21,731,0.000217,9.6,3.89,0.006588,0.001592
2016-11-22,735.81,0.000217,9.53,3.93,0.006527,0.001532
2016-11-23,747,0.000215,9.83,3.9,0.006434,0.001542
2016-11-24,741.76,0.000212,9.8,3.86,0.006655,0.002666
2016-11-25,737.99,0.000214,9.21,3.9,0.006851,0.002767
2016-11-26,739,0.000215,9.4,3.87,0.007097,0.002421
2016-11-27,735.83,0.000212,9.34,3.86,0.007135,0.002545
2016-11-28,729.01,0.000215,8.9,3.87,0.006816,0.002233
2016-11-29,730.27,0.000223,8.66,3.84,0.006744,0.002353
2016-11-30,731.8,0.000222,8.19,3.83,0.006778,0.002272
2016-12-01,742.6,0.000216,8.63,3.84,0.006708,0.002158
2016-12-02,753.57,0.000217,8.46,3.88,0.006705,0.00215
2016-12-03,771.54,0.000215,7.68,3.94,0.006662,0.002802
2016-12-04,766.52,0.000217,7.9,3.9,0.00671,0.003123
2016-12-05,766.96,0.000219,7.54,3.89,0.006541,0.002772
2016-12-06,753.36,0.000218,6.69,3.58,0.006574,0.0029
2016-12-07,755.73,0.000218,6.81,3.5,0.006545,0.002868
2016-12-08,766.07,0.000219,8.37,3.67,0.0065,0.002836
2016-12-09,768.35,0.000227,8.27,3.65,0.006445,0.00281
2016-12-10,771.77,0.000225,8.55,3.74,0.006363,0.002751
2016-12-11,775.98,0.000236,8.12,3.7,0.006286,0.002646
2016-12-12,770.9,0.000234,8.25,3.64,0.006349,0.002691
2016-12-13,778.71,0.00023,8.49,3.64,0.006444,0.002578
2016-12-14,779.79,0.000233,8.4,3.65,0.006326,0.002657
2016-12-15,777.72,0.000227,8.26,3.6,0.006199,0.002543
2016-12-16,775,0.000223,7.77,3.5,0.006173,0.002509
2016-12-17,785,0.000228,7.89,3.64,0.006341,0.002559
2016-12-18,790.07,0.000228,7.68,3.72,0.006426,0.002544
2016-12-19,790,0.000223,7.94,3.62,0.006449,0.002469
2016-12-20,789.91,0.000228,7.62,3.66,0.006368,0.002481
2016-12-21,797.99,0.000226,7.58,3.62,0.006311,0.002477
2016-12-22,828.58,0.000227,7.88,3.66,0.006386,0.002554
2016-12-23,858.01,0.000236,7.65,3.69,0.00657,0.002735
2016-12-24,915.5,0.000229,7.18,4.49,0.006201,0.002598
2016-12-25,887,0.00022,7.24,4.47,0.006315,0.002494
2016-12-26,896.73,0.000221,7.22,4.3,0.006366,0.002396
2016-12-27,901.98,0.000221,7.23,4.23,0.006233,0.002355
2016-12-28,921.59,0.000229,7.16,4.33,0.006167,0.002347
2016-12-29,981.92,0.000226,7.62,4.53,0.006698,0.002355
2016-12-30,976.75,0.000205,8.29,4.69,0.006411,0.002089
2016-12-31,962.63,0.000208,8.22,4.35,0.006423,0.002475
2017-01-01,970.47,0.000209,8.13,4.36,0.006596,0.002398
2017-01-02,996.82,0.000209,8.18,4.51,0.006863,0.002472
2017-01-03,1019.01,0.000206,8.36,4.56,0.006726,0.002441
2017-01-04,1035.19,0.000207,9.69,4.55,0.006788,0.00238
2017-01-05,1133,0.000215,10.98,4.55,0.0068,0.002545
2017-01-06,995.05,0.000208,10.28,4.23,0.006709,0.002481
