Date,AAPL,MSFT,GOOG,FB,AMZN,SNE,AMD,TWTR,IBM,MU
2018/8/22,215.05,107.06,1207.33,173.64,1904.9,54.62,20.9,33.81,145.24,50.24
2018/8/23,215.49,107.56,1205.38,172.9,1902.9,54.41,22.29,33.88,145.37,49.7
2018/8/24,216.16,108.4,1220.65,174.645,1905.39,54.54,23.98,34.28,146.04,50.7
2018/8/27,217.94,109.6,1241.82,177.46,1927.68,56.02,25.26,35.89,146.69,52.07
2018/8/28,219.7,110.26,1231.15,176.26,1932.82,55.77,25.05,35.49,146.59,52.34
2018/8/29,222.98,112.02,1249.3,175.9,1998.1,57.07,25.2,35.35,147.54,51.83
2018/8/30,225.03,111.95,1239.12,177.64,2002.38,56.68,24.89,35.64,145.93,52.76
2018/8/31,227.63,112.33,1218.19,175.73,2012.71,56.83,25.17,35.18,146.48,52.52
2018/9/4,228.36,111.71,1197.0,171.16,2039.51,56.18,28.06,34.84,145.68,51.93
2018/9/5,226.87,108.49,1186.48,167.18,1994.82,55.5,28.51,32.73,146.66,49.54
2018/9/6,223.1,108.74,1171.44,162.53,1958.31,56.36,27.84,30.81,146.39,44.65
2018/9/7,221.3,108.21,1164.83,163.04,1952.07,56.53,27.38,30.49,145.45,44.86
2018/9/10,218.33,109.38,1164.64,164.18,1939.01,56.68,29.89,30.54,145.65,44.9
2018/9/11,223.85,111.24,1177.36,165.94,1987.15,56.85,30.1,30.89,146.49,43.6
2018/9/12,221.07,111.71,1162.82,162.0,1990.0,57.47,32.21,29.75,146.57,41.74
2018/9/13,226.41,112.91,1175.33,161.36,1989.87,57.76,30.48,30.39,148.95,43.62
2018/9/14,223.84,113.37,1172.53,162.32,1970.19,59.44,32.72,30.12,148.33,44.3
2018/9/17,217.88,112.14,1156.05,160.58,1908.03,59.29,32.43,28.86,147.94,43.58
2018/9/18,218.24,113.21,1161.22,160.3,1941.05,59.83,31.93,29.22,148.56,45.33
2018/9/19,218.37,111.7,1171.09,163.06,1926.42,59.0,31.21,29.52,149.06,45.06
2018/9/20,220.03,113.57,1186.87,166.02,1944.3,59.1,31.18,29.85,151.15,46.06
2018/9/21,217.66,114.26,1166.09,162.93,1915.01,57.0,31.02,28.5,151.35,44.74
2018/9/24,220.79,114.67,1173.37,165.41,1934.36,56.85,32.61,28.6,150.03,45.16
2018/9/25,222.19,114.45,1184.65,164.91,1974.55,58.53,32.57,29.11,148.91,44.64
2018/9/26,220.42,113.98,1180.49,166.95,1974.85,59.45,32.19,29.01,151.61,44.35
2018/9/27,224.95,114.41,1194.64,168.84,2012.98,59.53,32.59,29.42,151.5,44.99
2018/9/28,225.74,114.37,1193.47,164.46,2003.0,60.65,30.89,28.46,151.21,45.23
2018/10/1,227.26,115.61,1195.31,162.44,2004.36,60.58,31.42,28.31,153.0,45.15
2018/10/2,229.28,115.15,1200.11,159.33,1971.31,59.82,29.02,28.19,153.75,45.76
2018/10/3,232.07,115.17,1202.95,162.43,1952.76,58.32,28.43,29.01,153.22,45.15
2018/10/4,227.99,112.79,1168.19,158.85,1909.42,57.07,27.78,28.23,151.31,44.16
2018/10/5,224.29,112.13,1157.35,157.33,1889.65,57.23,27.35,28.39,149.03,43.58
2018/10/8,223.77,110.85,1148.97,157.25,1864.42,57.07,26.46,28.45,148.39,43.07
2018/10/9,226.87,112.26,1138.82,157.9,1870.32,57.97,27.24,29.27,147.24,42.27
2018/10/10,216.36,106.16,1081.22,151.38,1755.25,56.1,25.0,26.79,142.69,41.61
2018/10/11,214.45,105.91,1079.32,153.35,1719.36,55.52,25.3,27.0,139.02,41.97
2018/10/12,222.11,109.57,1110.08,153.74,1788.61,55.51,26.34,27.99,140.85,42.47
2018/10/15,217.36,107.6,1092.25,153.52,1760.95,56.25,26.26,28.61,141.13,42.34
2018/10/16,222.15,111.0,1121.28,158.78,1819.96,57.5,28.18,29.87,145.12,43.21
2018/10/17,221.19,110.71,1115.69,159.42,1831.73,57.9,27.3,29.55,134.05,42.35
2018/10/18,216.02,108.5,1087.97,154.92,1770.72,56.03,26.62,29.29,130.55,41.3
2018/10/19,219.31,108.66,1096.46,154.05,1764.03,55.67,23.66,28.83,129.1,40.45
2018/10/22,220.65,109.63,1101.16,154.78,1789.3,55.78,25.03,29.18,130.02,39.76
2018/10/23,222.73,108.1,1103.69,154.39,1768.7,55.07,25.09,28.77,131.21,38.68
2018/10/24,215.09,102.32,1050.71,146.04,1664.2,53.08,22.79,27.54,127.21,35.43
2018/10/25,219.8,108.3,1095.57,150.95,1782.17,53.48,19.27,31.8,126.45,36.78
2018/10/26,216.3,106.96,1071.47,145.37,1642.81,52.41,17.63,32.36,124.79,35.4
2018/10/29,212.24,103.85,1020.08,142.09,1538.88,51.0,16.85,32.39,119.64,34.66
2018/10/30,213.3,103.73,1036.21,146.22,1530.42,53.43,17.2,33.86,115.4,36.01
2018/10/31,218.86,106.81,1076.77,151.79,1598.01,54.13,18.21,34.75,115.43,37.72
2018/11/1,222.22,105.92,1070.0,151.75,1665.53,55.66,20.22,34.62,116.83,40.12
2018/11/2,207.48,106.16,1057.79,150.35,1665.53,53.66,20.23,34.3,115.67,40.32
