date,AMZN,S&P 500
2014-05-20,301.19,1872.8299559999998
2014-05-21,305.01,1888.030029
2014-05-22,304.91,1892.4899899999998
2014-05-23,312.24,1900.530029
2014-05-27,310.82,1911.910034
2014-05-28,310.16,1909.780029
2014-05-29,313.78,1920.030029
2014-05-30,312.55,1923.569946
2014-06-02,308.84,1924.969971
2014-06-03,307.19,1924.2399899999998
2014-06-04,306.78,1927.880005
2014-06-05,323.57,1940.459961
2014-06-06,329.67,1949.439941
2014-06-09,327.5,1951.27002
2014-06-10,332.41,1950.790039
2014-06-11,335.2,1943.890015
2014-06-12,325.91,1930.109985
2014-06-13,326.27,1936.160034
2014-06-16,327.62,1937.780029
2014-06-17,325.62,1941.9899899999998
2014-06-18,334.38,1956.97998
2014-06-19,327.0,1959.47998
2014-06-20,324.2,1962.869995
2014-06-23,327.24,1962.609985
2014-06-24,324.16,1949.97998
2014-06-25,327.44,1959.530029
2014-06-26,325.69,1957.219971
2014-06-27,324.57,1960.959961
2014-06-30,324.78,1960.22998
2014-07-01,332.39,1973.319946
2014-07-02,332.85,1974.619995
2014-07-03,337.49199999999996,1985.439941
2014-07-07,333.55,1977.6500239999998
2014-07-08,323.81,1963.709961
2014-07-09,329.97,1972.8299559999998
2014-07-10,327.92,1964.680054
2014-07-11,346.2,1967.569946
2014-07-14,355.32,1977.0999760000002
2014-07-15,354.44,1973.280029
2014-07-16,355.9,1981.569946
2014-07-17,352.454,1958.119995
2014-07-18,358.66,1978.219971
2014-07-21,359.76,1973.630005
2014-07-22,360.84,1983.530029
2014-07-23,358.14,1987.0100100000002
2014-07-24,358.61,1987.97998
2014-07-25,324.01,1978.339966
2014-07-28,320.41,1978.910034
2014-07-29,320.0,1969.949951
2014-07-30,322.51,1970.069946
2014-07-31,312.99,1930.6700440000002
2014-08-01,307.06,1925.1500239999998
2014-08-04,313.65,1938.9899899999998
2014-08-05,312.32,1920.209961
2014-08-06,313.89,1920.2399899999998
2014-08-07,311.45,1909.569946
2014-08-08,316.8,1931.589966
2014-08-11,318.33,1936.9200440000002
2014-08-12,319.32,1933.75
2014-08-13,326.28,1946.719971
2014-08-14,333.21,1955.180054
2014-08-15,333.63,1955.060059
2014-08-18,334.53,1971.7399899999998
2014-08-19,335.13,1981.5999760000002
2014-08-20,335.78,1986.5100100000002
2014-08-21,332.91,1992.369995
2014-08-22,331.59,1988.4000239999998
2014-08-25,334.02,1997.9200440000002
2014-08-26,341.83,2000.02002
2014-08-27,343.18,2000.119995
2014-08-28,340.02,1996.7399899999998
2014-08-29,339.04,2003.369995
2014-09-02,342.38,2002.280029
2014-09-03,339.0,2000.719971
2014-09-04,345.95,1997.6500239999998
2014-09-05,346.38,2007.709961
2014-09-08,342.34,2001.540039
2014-09-09,329.75,1988.439941
2014-09-10,331.33,1995.689941
2014-09-11,330.52,1997.449951
2014-09-12,331.19,1985.540039
2014-09-15,323.89,1984.130005
2014-09-16,327.76,1998.97998
2014-09-17,324.0,2001.569946
2014-09-18,325.0,2011.359985
2014-09-19,331.32,2010.4000239999998
2014-09-22,324.5,1994.290039
2014-09-23,323.63,1982.77002
2014-09-24,328.21,1998.300049
2014-09-25,321.93,1965.9899899999998
2014-09-26,323.21,1982.8499760000002
2014-09-29,321.82,1977.800049
2014-09-30,322.44,1972.290039
2014-10-01,317.46,1946.160034
2014-10-02,318.41,1946.1700440000002
2014-10-03,322.74,1967.9000239999998
2014-10-06,322.2,1964.819946
2014-10-07,316.98,1935.0999760000002
2014-10-08,322.7,1968.890015
2014-10-09,315.37,1928.209961
2014-10-10,311.39,1906.130005
2014-10-13,306.45,1874.7399899999998
2014-10-14,308.31,1877.699951
2014-10-15,305.97,1862.4899899999998
2014-10-16,302.86,1862.7600100000002
2014-10-17,303.64,1886.7600100000002
2014-10-20,306.21,1904.0100100000002
2014-10-21,315.33,1941.280029
2014-10-22,312.97,1927.109985
2014-10-23,313.18,1950.819946
2014-10-24,287.06,1964.5799559999998
2014-10-27,289.97,1961.630005
2014-10-28,295.59,1985.050049
2014-10-29,294.12,1982.300049
2014-10-30,299.07,1994.6500239999998
2014-10-31,305.46,2018.050049
2014-11-03,305.72,2017.810059
2014-11-04,302.81,2012.0999760000002
2014-11-05,296.52,2023.569946
2014-11-06,296.64,2031.209961
2014-11-07,299.86,2031.9200440000002
2014-11-10,305.11,2038.2600100000002
2014-11-11,312.01,2039.680054
2014-11-12,311.51,2038.25
2014-11-13,316.48,2039.3299559999998
2014-11-14,327.82,2039.819946
2014-11-17,323.05,2041.319946
2014-11-18,324.93,2051.800049
2014-11-19,326.54,2048.719971
2014-11-20,330.54,2052.75
2014-11-21,332.63,2063.5
2014-11-24,335.64,2069.409912
2014-11-25,335.04,2067.030029
2014-11-26,333.57,2072.830078
2014-11-28,338.64,2067.560059
2014-12-01,326.0,2053.439941
2014-12-02,326.31,2066.550049
2014-12-03,316.5,2074.330078
2014-12-04,316.93,2071.919922
2014-12-05,312.63,2075.3701170000004
2014-12-08,306.64,2060.310059
2014-12-09,312.5,2059.820068
2014-12-10,305.84,2026.140015
2014-12-11,307.36,2035.3299559999998
2014-12-12,307.32,2002.3299559999998
2014-12-15,306.07,1989.630005
2014-12-16,295.06,1972.7399899999998
2014-12-17,298.88,2012.890015
2014-12-18,297.73,2061.22998
2014-12-19,299.9,2070.649902
2014-12-22,306.54,2078.540039
2014-12-23,306.285,2082.169922
2014-12-24,303.03,2081.8798829999996
2014-12-26,309.09,2088.77002
2014-12-29,312.04,2090.570068
2014-12-30,310.3,2080.350098
2014-12-31,310.35,2058.899902
2015-01-02,308.52,2058.199951
2015-01-05,302.19,2020.5799559999998
2015-01-06,295.29,2002.609985
2015-01-07,298.42,2025.9000239999998
2015-01-08,300.46,2062.139893
2015-01-09,296.93,2044.810059
2015-01-12,291.41,2028.2600100000002
2015-01-13,294.74,2023.030029
2015-01-14,293.27,2011.27002
2015-01-15,286.95,1992.6700440000002
2015-01-16,290.74,2019.4200440000002
2015-01-20,289.44,2022.550049
2015-01-21,297.25,2032.119995
2015-01-22,310.32,2063.149902
2015-01-23,312.39,2051.820068
2015-01-26,309.66,2057.090088
2015-01-27,306.75,2029.550049
2015-01-28,303.91,2002.160034
2015-01-29,311.78,2021.25
2015-01-30,354.53,1994.9899899999998
2015-02-02,364.47,2020.8499760000002
2015-02-03,363.55,2050.030029
2015-02-04,364.75,2041.5100100000002
2015-02-05,373.89,2062.52002
2015-02-06,374.28,2055.469971
2015-02-09,370.56,2046.7399899999998
2015-02-10,372.995,2068.590088
2015-02-11,375.14,2068.530029
2015-02-12,377.17,2088.47998
2015-02-13,381.83,2096.98999
2015-02-17,375.43,2100.340088
2015-02-18,373.37,2099.679932
2015-02-19,378.995,2097.449951
2015-02-20,383.66,2110.300049
2015-02-23,380.14,2109.659912
2015-02-24,378.59,2115.47998
2015-02-25,385.37,2113.860107
2015-02-26,384.8,2110.73999
2015-02-27,380.16,2104.5
2015-03-02,385.655,2117.389893
2015-03-03,384.61,2107.780029
2015-03-04,382.72,2098.530029
2015-03-05,387.83,2101.040039
2015-03-06,380.09,2071.26001
2015-03-09,378.56,2079.429932
2015-03-10,369.51,2044.160034
2015-03-11,366.37,2040.2399899999998
2015-03-12,374.24,2065.949951
2015-03-13,370.58,2053.399902
2015-03-16,373.35,2081.189941
2015-03-17,371.92,2074.280029
2015-03-18,375.135,2099.5
2015-03-19,373.24,2089.27002
2015-03-20,378.49,2108.100098
2015-03-23,375.11,2104.419922
2015-03-24,374.09,2091.5
2015-03-25,370.96,2061.050049
2015-03-26,367.35,2056.149902
2015-03-27,370.56,2061.02002
